feature,group1_mean,group2_mean,group1_std,group2_std,fold_change,statistic,p_value,neg_log10_p,significant,n_group1,n_group2,p_adjusted,significant_adj
TAG55:5-FA20:4,0.401363829787234,0.3234151515151515,0.2730312888647628,0.15725597251150125,0.3115233322229306,2.4137972735792452,0.017017643887055192,1.7691005686745962,True,94,99,0.10460953379421405,False
TAG52:4-FA20:3,2.0902545454545454,1.6073069999999998,1.7595326715638322,0.9516376694892384,0.37903312436655523,2.40488532833776,0.017392375424699836,1.759641098653607,True,99,100,0.10460953379421405,False
TAG49:0-FA18:0,0.5473095238095238,0.34506883116883114,0.7223063812136367,0.24696733017469308,0.6654727796682934,2.416695793548217,0.017409284773643955,1.7592190706540782,True,84,77,0.10460953379421405,False
CE(20:1),18.472985858585858,22.715848,12.414598298563508,12.593129367378518,-0.2982820897396903,-2.3933722845080614,0.01763298829071809,1.7536740808831504,True,99,100,0.10460953379421405,False
TAG51:1-FA16:0,6.653003030303031,4.41117,8.69885576559958,3.2375172780943737,0.5928443288901845,2.40465907745597,0.017661261220368527,1.7529782859516272,True,99,100,0.10460953379421405,False
TAG50:1-FA14:0,5.483670707070706,3.6788689999999997,7.100819333340724,2.344252797831412,0.5758796343544004,2.402636487303684,0.017823953243522435,1.7489959657628078,True,99,100,0.10460953379421405,False
TAG50:3-FA18:3,7.539167676767677,4.399362999999999,12.604517105070144,3.157026447950922,0.7771106118212164,2.40497142699865,0.01784096467254272,1.7485816667404204,True,99,100,0.10460953379421405,False
TAG56:6-FA22:5,6.698425252525253,5.316592000000002,5.225077917324381,2.3867527199096186,0.3333202115649433,2.3955455827205885,0.017948347945145868,1.7459755198614875,True,99,100,0.10460953379421405,False
TAG48:2-FA16:0,21.14851313131313,14.031082999999999,27.668855178892738,10.457504298760627,0.5919298675680275,2.395670026813184,0.018070573762113275,1.7430280578561257,True,99,100,0.10460953379421405,False
TAG52:6-FA20:4,0.8296459183673469,0.6257316326530612,0.7631561615022435,0.3659636916802469,0.40695170091807104,2.385075185562268,0.018421064256320972,1.7346852825378827,True,98,98,0.10460953379421405,False
TAG50:2-FA16:1,68.06387373737374,51.60235399999998,60.56111895509005,32.72959644972578,0.3994523819402784,2.3819974285455965,0.018469170300363047,1.733552614146525,True,99,100,0.10460953379421405,False
SM(16:0),198.72344545454547,211.59639800000002,37.38468112527134,39.04757973291275,-0.09055297645288744,-2.3755666480150364,0.018482532202564357,1.7332385284479712,True,99,100,0.10460953379421405,False
TAG50:2-FA18:0,3.0017303030303033,1.9416680000000002,4.244202301566618,1.230533435767356,0.6284978183549819,2.3877810064880705,0.01859144976191171,1.7306867426084858,True,99,100,0.10460953379421405,False
TAG47:0-FA14:0,0.4583075757575758,0.28500000000000003,0.5420595789878583,0.21088752503238717,0.6853541950290355,2.3959401265998608,0.01872881204370519,1.7274897687660096,True,66,57,0.10460953379421405,False
TAG52:2-FA18:0,31.652217171717172,20.386777,45.493425444888175,12.016611675130381,0.6346728468452986,2.382942970193501,0.018866528822123647,1.724307996606113,True,99,100,0.10460953379421405,False
TAG56:7-FA16:0,2.066927272727273,1.5413620000000001,2.075119279277266,0.7401823721191689,0.4232818953518157,2.374871161036678,0.019109753892354888,1.7187449060313544,True,99,100,0.10467134275109338,False
CE(18:2),1779.98067979798,1944.2474220000001,455.72795604269334,524.1620452644593,-0.12735024379681636,-2.359872591583955,0.019275363248516017,1.7149974288235903,True,99,100,0.10467134275109338,False
TAG54:2-FA20:2,0.7129535353535352,0.5028151515151515,0.8410847156139593,0.2641591084252206,0.5037799241992389,2.3716773276747474,0.01933810731178558,1.7135860340933171,True,99,99,0.10467134275109338,False
TAG52:4-FA14:0,0.7459656565656567,0.5553797979797981,0.7529142042839774,0.2880111250614157,0.4256345054163952,2.352384572369426,0.020201977513198528,1.694606116640763,True,99,99,0.10739363096497886,False
TAG56:7-FA22:5,4.192460606060607,3.266528,3.667380441628106,1.384649942858695,0.36003922049722775,2.3516595227552815,0.02025140323904705,1.6935448787277902,True,99,100,0.10739363096497886,False
TAG49:1-FA17:0,1.2256734693877551,0.8600979797979799,1.3645640391791178,0.7308889577543951,0.5110017562638363,2.3405345525041055,0.020590319933194455,1.6863369052449382,True,98,99,0.10739363096497886,False
TAG52:5-FA20:5,0.6155816326530612,0.4508880434782609,0.6123450099458264,0.3242379257471792,0.4491809239954744,2.336394771173586,0.02079953127513975,1.6819464519081049,True,98,92,0.10739363096497886,False
TAG53:1-FA18:0,1.138770707070707,0.747056,1.585295947858454,0.5101696363391536,0.6081889832456528,2.341435801395532,0.020888341402776067,1.6800960429406617,True,99,100,0.10739363096497886,False
TAG56:7-FA16:1,0.2616360655737705,0.2095873015873016,0.15671073036307676,0.07389002833781035,0.32001010113195205,2.353108696116893,0.02093133360236582,1.6792031004860841,True,61,63,0.10739363096497886,False
TAG48:2-FA14:0,19.132696969696973,12.783244999999999,25.636769471749826,8.59615916084978,0.581786143908508,2.3376192019527573,0.02106924504465471,1.6763510257974366,True,99,100,0.10739363096497886,False
